source_code,concept_name
nmol/L/sec,nanomole per second and liter
million/mL,million per milliliter
10^12/L,trillion per liter
7144,per 24 hours
14954,billion per liter
MCG/GM,microgram per gram
Bethesda Units,Bethesda unit
EIA UNITS,EIA unit
2586,billion per liter
13979,billion per liter
THOU/mcL,thousand per microliter
10^3UL,thousand per microliter
MILLION/mcL,million per microliter
{APS'U},anti-phosphatidylserine IgA concentration (APS) unit
Leu/uL,cells per microliter
ML/MIN/1.743M2,milliliter per minute per 1.73 square meter
ratio units,ratio unit
UMOL/MOL,micromole per mole
ng/mL,nanogram per milliliter
mcg/g Cr,microgram per gram of creatinine
{ML/MIN/1.73M(2)},milliliter per minute per 1.73 square meter
mmol/mol cr,millimole per mole of creatinine
minute,minute
10\S\9/L,billion per liter
rel.saline,relative to saline
10X3/MM3,thousand per cubic millimeter
mg/24Hrs,milligram per 24 hours
THOUS/MCL,thousand per microliter
Delta sec,second
ug/g stool,microgram per gram
g/dLgram per deciliterUCUM,gram per deciliter
Million/uL,million per microliter
IN,inch (international)
Ao,Angstrom
umol/L/h,micromole per hour and liter
14718,unit
ML/MIN/1.73SQ.M.,milliliter per minute per 1.73 square meter
15034,billion per liter
13967,billion per liter
{MCG/MG_CREAT},microgram per milligram of creatinine
ml/min/1.73m,milliliter per minute per 1.73 square meter
10280,milligram per liter
x 1000,thousand
919,millimole per 24 hours
FEMTOLITER [SI VOL,femtoliter
mmol/molCRE,millimole per mole of creatinine
Picogram/ml,picogram per milliliter
pcs,Generic unit for indivisible thing
UG/24 H,microgram per 24 hours
138,gram per deciliter
2178,percent abnormal
Year,year
13598,billion per liter
ng/(24.h),nanogram per 24 hours
{%_(CALC)},percent calculated
uU/mL,microunit per milliliter
[G/ML,gram per milliliter
15014,billion per liter
150-379 x10E3/uL,thousand per microliter
14971,billion per liter
14832,billion per liter
212,millimeter mercury column
liters,liter
secs,second
mm/HG,millimeter mercury column
SCORE,score
877,milligram per milligram
MG ALB/G CREAT,milligram per gram of creatinine
MCM/MG CREAT,micromole per milligram of creatinine
X10000/μL,ten thousand per microliter
Days,day
{Cells}/[HPF],cells per high power field
APL U/mL APL U/mL LB,IgA phospholipid unit per milliliter
IN,inch (US)
{MG/G_CREAT},milligram per gram of creatinine
mmo1/L,millimole per liter
g/24hrs,gram per 24 hours
ng/dL ng/dL LB,nanogram per deciliter
10272,attogram per cell
PG//ML,picogram per milliliter
13992,billion per liter
>=300 MG /D L,milligram per deciliter
ML/MIN/1.733M2,milliliter per minute per 1.73 square meter
Cel,degree Celsius
m3,cubical meter
49 HRS,hour
X 10-6,million
mg TP/g Cre,milligram per gram of creatinine
MG/24,milligram per 24 hours
%NORMAL,percent of normal
U[IU],micro-international unit
14898,billion per liter
ml/min/1.73sqm,milliliter per minute per 1.73 square meter
PMOL/8,picomole per eight times 10 to the 8th red blood cells
x 1000/uL,thousand per microliter
mg/DAY,milligram per 24 hours
GPS IgG GPS IgG LB,anti-phosphatidylserine IgG concentration (GPS) unit
cells/cmm,cells per cubic millimeter
%TOT HGB,percent hemoglobin
THOUS/CUMM,thousand per cubic millimeter
PER MINUTE,per minute
/100 W,per 100 white blood cells
g/48hr,gram per time
916,millimole per mole
UIUML,microunit per milliliter
888,counts per minute
%TOTAL HGB,percent hemoglobin
ngFEU/ML,nanogram of fibrinogen equivalent unit per milliliter
micmol/l,micromole per liter
2924,milliliter per minute per 1.73 square meter
MEQ/ML,milliequivalent per milliliter
>ml/nin,milliliter per minute
degree Celsius,degree Celsius
{/HPF},per high power field
{10E9/L},billion per liter
%MEAN NORMAL,percent mean normal
% uptake,percent uptake
pg/m,picogram per milliliter
MG/dL,milligram per deciliter
ENZUNIT/MG PROTEIN,unit per milligram
EIA,EIA unit
 UG/DL,microgram per deciliter
409,unit per liter
% normal,percent of normal
unit/ml,unit per milliliter
X10 3/UL,thousand per microliter
%T.HGB,percent total
per minute,per minute
{NANAMOLE},nanomole
umol,micromole
RBC/hpf,red blood cells per high power field
PER_UL,per microliter
256,picomole per liter
"ML/MIN/1.73_,2",milliliter per minute per 1.73 square meter
mg/g CR,milligram per gram of creatinine
MG/GM CREA,milligram per gram
breath/min,counts per minute
MNMOL/L,millimole per liter
UIU/ML,micro-international unit per milliliter
15376,billion per liter
GRAM,gram
10^3/ul,thousand per microliter
{EIA_index},EIA unit
[iU]/g{Hgb},international unit per gram of hemoglobin
1441,micromole
/MM3,per cubic millimeter
x10\S\9/L,billion per liter
mos/KG,milliosmole per kilogram
4820,percent saturation
14827,billion per liter
