source_code,concept_name,concept_code,concept_id
aunit,allergenic unit,{AU},45744811
a units,allergenic unit,{AU},45744811
ao,Angstrom,Ang,9452
{angstrom},Angstrom,Ang,9452
angstrom,Angstrom,Ang,9452
{aps'u},anti-phosphatidylserine IgA concentration (APS) unit,[APS'U],8542
aps iga,anti-phosphatidylserine IgA concentration (APS) unit,[APS'U],8542
aps iga units,anti-phosphatidylserine IgA concentration (APS) unit,[APS'U],8542
aps iga aps iga lb,anti-phosphatidylserine IgA concentration (APS) unit,[APS'U],8542
aps,anti-phosphatidylserine IgA concentration (APS) unit,[APS'U],8542
apsiga,anti-phosphatidylserine IgA concentration (APS) unit,[APS'U],8542
aps u/ml,anti-phosphatidylserine IgA concentration (APS) unit per milliter,[APS'U]/mL,8823
gps igg gps igg lb,anti-phosphatidylserine IgG concentration (GPS) unit,[GPS'U],8487
gps igg units,anti-phosphatidylserine IgG concentration (GPS) unit,[GPS'U],8487
gpsigg,anti-phosphatidylserine IgG concentration (GPS) unit,[GPS'U],8487
gps igg,anti-phosphatidylserine IgG concentration (GPS) unit,[GPS'U],8487
gps,anti-phosphatidylserine IgG concentration (GPS) unit,[GPS'U],8487
{gps'u},anti-phosphatidylserine IgG concentration (GPS) unit,[GPS'U],8487
{gps},anti-phosphatidylserine IgG concentration (GPS) unit,[GPS'U],8487
gps u/ml,anti-phosphatidylserine IgG concentration (GPS) unit per milliliter,[GPS'U]/mL,8831
{mps'u},anti-phosphatidylserine IgM concentration (MPS) unit,[MPS'U],8495
mps igm mps igm lb,anti-phosphatidylserine IgM concentration (MPS) unit,[MPS'U],8495
mps igm,anti-phosphatidylserine IgM concentration (MPS) unit,[MPS'U],8495
{mps},anti-phosphatidylserine IgM concentration (MPS) unit,[MPS'U],8495
mps,anti-phosphatidylserine IgM concentration (MPS) unit,[MPS'U],8495
mpsigm,anti-phosphatidylserine IgM concentration (MPS) unit,[MPS'U],8495
mps u/ml,anti-phosphatidylserine IgM concentration (MPS) unit per milliliter,[MPS'U]/mL,8836
cae units,arbitrary unit,[arb'U],9260
au,arbitrary unit,[arb'U],9260
[arb'u],arbitrary unit,[arb'U],9260
ru,arbitrary unit,[arb'U],9260
arunit,arbitrary unit,[arb'U],9260
48,arbitrary unit,[arb'U],9260
[arbu],arbitrary unit,[arb'U],9260
(arb'u),arbitrary unit,[arb'U],9260
apl,arbitrary unit,[arb'U],9260
lu30,arbitrary unit,[arb'U],9260
sau,arbitrary unit,[arb'U],9260
346,arbitrary unit,[arb'U],9260
